id,title,year,decade,model,model_id,status,latency_s,title_guess,typography,typography_notes,mood,caption_essay,lite_risk,notes,raw_text,error
20441,Messengers 2: The Scarecrow,2009,2000,nova-pro,us.amazon.nova-pro-v1:0,ok,1.964,Messengers 2: The Scarecrow,block,"Large, bold, and blocky font for the title",terrifying|supernatural|dark|ominous|creepy,A horror movie poster featuring a menacing scarecrow and ominous house.,ok,Poster is clear and unambiguous,"{
  ""title_guess"": ""Messengers 2: The Scarecrow"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, and blocky font for the title"",
  ""mood"": [""terrifying"", ""supernatural"", ""dark"", ""ominous"", ""creepy""],
  ""caption_essay"": ""A horror movie poster featuring a menacing scarecrow and ominous house."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster is clear and unambiguous""
}",
1237962,Suffer Little Children…,1976,1970,nova-pro,us.amazon.nova-pro-v1:0,ok,2.064,Suffer Little Children,block,"Large, bold, block letters dominate the title.",eerie|melancholic|somber|mysterious,A haunting landscape evokes a sense of foreboding and despair.,ok,"The title suggests a dark theme, fitting for a horror movie.","{
  ""title_guess"": ""Suffer Little Children"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, block letters dominate the title."",
  ""mood"": [""eerie"", ""melancholic"", ""somber"", ""mysterious""],
  ""caption_essay"": ""A haunting landscape evokes a sense of foreboding and despair."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The title suggests a dark theme, fitting for a horror movie.""
}",
20441,Messengers 2: The Scarecrow,2009,2000,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.444,MESSENGERS 2: THE SCARECROW,mixed,"Serif capitals for main title with elegant spacing, contrasted against subtitle in smaller serif font.",ominous|apocalyptic|rural horror|demonic|fiery,"A towering scarecrow looms over a burning farmhouse in this horror sequel poster, its silhouette framed against an infernal sky. The composition merges rural Americana with supernatural dread.",ok,"Clear legible text, recognizable film property, standard horror genre imagery with no ambiguous elements.","```json
{
  ""title_guess"": ""MESSENGERS 2: THE SCARECROW"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Serif capitals for main title with elegant spacing, contrasted against subtitle in smaller serif font."",
  ""mood"": [
    ""ominous"",
    ""apocalyptic"",
    ""rural horror"",
    ""demonic"",
    ""fiery""
  ],
  ""caption_essay"": ""A towering scarecrow looms over a burning farmhouse in this horror sequel poster, its silhouette framed against an infernal sky. The composition merges rural Americana with supernatural dread."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear legible text, recognizable film property, standard horror genre imagery with no ambiguous elements.""
}
```",
93958,Meat Market 3,2006,2000,nova-pro,us.amazon.nova-pro-v1:0,ok,1.499,Meat Market 3,block,"Large, bold, block letters for the title",terrifying|gory|suspenseful|dark,A horror movie poster with a gruesome image and dark color scheme.,ok,"Poster is for a horror movie, as indicated by the title and imagery.","{
  ""title_guess"": ""Meat Market 3"",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold, block letters for the title"",
  ""mood"": [""terrifying"", ""gory"", ""suspenseful"", ""dark""],
  ""caption_essay"": ""A horror movie poster with a gruesome image and dark color scheme."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster is for a horror movie, as indicated by the title and imagery.""
}",
1237962,Suffer Little Children…,1976,1970,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.939,Suffer Little Children,ornate,"Serif font with decorative flourishes and spacing, evoking classical or gothic sensibilities.",ominous|desolate|atmospheric|unsettling|melancholic,"Misty countryside landscape with distant spires dissolves into foreboding text, establishing a gothic horror atmosphere that suggests rural dread and supernatural menace.",ok,Low-resolution VHS-era imagery; title references biblical phrase; composition uses fog and distance for psychological effect.,"```json
{
  ""title_guess"": ""Suffer Little Children"",
  ""typography"": ""ornate"",
  ""typography_notes"": ""Serif font with decorative flourishes and spacing, evoking classical or gothic sensibilities."",
  ""mood"": [""ominous"", ""desolate"", ""atmospheric"", ""unsettling"", ""melancholic""],
  ""caption_essay"": ""Misty countryside landscape with distant spires dissolves into foreboding text, establishing a gothic horror atmosphere that suggests rural dread and supernatural menace."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Low-resolution VHS-era imagery; title references biblical phrase; composition uses fog and distance for psychological effect.""
}
```",
1218774,Tod Slaughter at Home,1936,1930,nova-pro,us.amazon.nova-pro-v1:0,ok,1.738,Tod Slaughter at Home,block,"Bold, block letters dominate the title.",dark|mysterious|vintage|eerie|gothic,"Vintage horror poster with a dark, mysterious vibe.",ok,Poster likely from a classic horror film era.,"{
  ""title_guess"": ""Tod Slaughter at Home"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, block letters dominate the title."",
  ""mood"": [""dark"", ""mysterious"", ""vintage"", ""eerie"", ""gothic""],
  ""caption_essay"": ""Vintage horror poster with a dark, mysterious vibe."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster likely from a classic horror film era.""
}",
93958,Meat Market 3,2006,2000,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.293,MEAT MARKET 3,block,"Bold, sans-serif block lettering with high contrast against the dark background.",horror|visceral|apocalyptic|psychological|grotesque,"A charred, disfigured face dominates this horror poster, surrounded by hellish orange flames and shadowy figures. The tagline questions survival of both body and mind in extreme circumstances.",ok,"Clear title, legible typography, standard horror genre poster conventions. No obvious data quality issues.","```json
{
  ""title_guess"": ""MEAT MARKET 3"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, sans-serif block lettering with high contrast against the dark background."",
  ""mood"": [""horror"", ""visceral"", ""apocalyptic"", ""psychological"", ""grotesque""],
  ""caption_essay"": ""A charred, disfigured face dominates this horror poster, surrounded by hellish orange flames and shadowy figures. The tagline questions survival of both body and mind in extreme circumstances."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear title, legible typography, standard horror genre poster conventions. No obvious data quality issues.""
}
```",
174080,The Egyptian Mummy,1914,1910,nova-pro,us.amazon.nova-pro-v1:0,ok,1.841,The Egyptian Mummy,block,"Bold, capitalized letters for dramatic effect.",mysterious|eerie|ancient|tense,Vintage horror poster featuring a mummy and an archaeologist.,ok,Poster likely from the early 20th century.,"{
  ""title_guess"": ""The Egyptian Mummy"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, capitalized letters for dramatic effect."",
  ""mood"": [""mysterious"", ""eerie"", ""ancient"", ""tense""],
  ""caption_essay"": ""Vintage horror poster featuring a mummy and an archaeologist."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster likely from the early 20th century.""
}",
1218774,Tod Slaughter at Home,1936,1930,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.633,Tod Slaughter at Home,mixed,Bold block capitals for main title contrasted with delicate script for subtitle.,sinister|vintage|theatrical|dark|ominous,"A classic horror title card featuring Tod Slaughter's name in stark capitals, with a menacing silhouette and axe suggesting domestic terror from early cinema's golden age of theatrical villainy.",ok,Appears to be from a 1930s-40s era film. High contrast black-and-white design typical of period horror promotion.,"```json
{
  ""title_guess"": ""Tod Slaughter at Home"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Bold block capitals for main title contrasted with delicate script for subtitle."",
  ""mood"": [""sinister"", ""vintage"", ""theatrical"", ""dark"", ""ominous""],
  ""caption_essay"": ""A classic horror title card featuring Tod Slaughter's name in stark capitals, with a menacing silhouette and axe suggesting domestic terror from early cinema's golden age of theatrical villainy."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Appears to be from a 1930s-40s era film. High contrast black-and-white design typical of period horror promotion.""
}
```",
174080,The Egyptian Mummy,1914,1910,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.838,The Egyptian Mummy,mixed,Ornate decorative header contrasts with bold block capitals for the subtitle.,eerie|vintage|supernatural|dramatic|gothic,"A silent-era horror poster depicts an unwrapping scene with visceral tension, combining Egyptology fascination with body-horror dread typical of 1920s cinema.",ok,Classic Harpodeon-era mummy film; clear legible text and recognizable genre iconography.,"```json
{
  ""title_guess"": ""The Egyptian Mummy"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Ornate decorative header contrasts with bold block capitals for the subtitle."",
  ""mood"": [""eerie"", ""vintage"", ""supernatural"", ""dramatic"", ""gothic""],
  ""caption_essay"": ""A silent-era horror poster depicts an unwrapping scene with visceral tension, combining Egyptology fascination with body-horror dread typical of 1920s cinema."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Classic Harpodeon-era mummy film; clear legible text and recognizable genre iconography.""
}
```",
85051,Minnie the Moocher,1932,1930,nova-pro,us.amazon.nova-pro-v1:0,ok,1.984,Minnie the Moocher,block,"Bold, block letters for the title.",nostalgic|whimsical|classic|animated,Vintage black and white cartoon poster featuring Betty Boop.,ok,Poster is clearly from an old cartoon.,"{
  ""title_guess"": ""Minnie the Moocher"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, block letters for the title."",
  ""mood"": [""nostalgic"", ""whimsical"", ""classic"", ""animated""],
  ""caption_essay"": ""Vintage black and white cartoon poster featuring Betty Boop."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster is clearly from an old cartoon.""
}",
