id,model,prompt_tokens,completion_tokens,total_tokens,latency_s,status
484509,gpt4o,449,34,483,2.829,ok
1261561,gpt4o,279,54,333,1.852,ok
362776,gpt4o,279,19,298,1.119,ok
26921,gpt4o,449,7,456,1.219,ok
212973,gpt4o,449,60,509,1.985,ok
48800,gpt4o,449,51,500,2.536,ok
35073,gpt4o,449,11,460,1.406,ok
836924,gpt4o,449,14,463,1.034,ok
3104,gpt4o,449,8,457,1.635,ok
64524,gpt4o,449,4,453,1.016,ok
77399,gpt4o,449,6,455,1.281,ok
30833,gpt4o,449,6,455,0.817,ok
399172,gpt4o,449,4,453,0.95,ok
1015482,gpt4o,449,13,462,0.908,ok
10283,gpt4o,449,16,465,1.602,ok
88410,gpt4o,449,5,454,0.784,ok
86687,gpt4o,449,18,467,1.107,ok
336254,gpt4o,449,4,453,1.865,ok
36992,gpt4o,449,4,453,1.27,ok
43274,gpt4o,449,5,454,1.307,ok
15056,gpt4o,449,11,460,0.894,ok
23532,gpt4o,449,8,457,0.944,ok
31012,gpt4o,449,3,452,1.649,ok
45551,gpt4o,449,16,465,2.393,ok
156252,gpt4o,449,3,452,0.823,ok
743757,gpt4o,279,28,307,1.21,ok
11908,gpt4o,449,3,452,1.086,ok
28265,gpt4o,449,7,456,0.865,ok
28419,gpt4o,449,156,605,2.086,ok
53553,gpt4o,449,3,452,1.221,ok
77050,gpt4o,279,32,311,0.986,ok
278267,gpt4o,279,38,317,1.294,ok
165078,gpt4o,279,80,359,1.351,ok
225048,gpt4o,279,15,294,1.291,ok
233194,gpt4o,279,107,386,2.662,ok
286452,gpt4o,449,5,454,1.343,ok
300156,gpt4o,449,30,479,0.914,ok
302019,gpt4o,449,4,453,0.857,ok
387034,gpt4o,1129,158,1287,3.534,ok
491649,gpt4o,449,1,450,0.963,ok
505063,gpt4o,449,7,456,1.471,ok
547055,gpt4o,449,3,452,1.272,ok
636515,gpt4o,449,13,462,1.521,ok
653537,gpt4o,449,10,459,1.158,ok
772603,gpt4o,449,77,526,1.463,ok
974046,gpt4o,449,39,488,1.175,ok
976209,gpt4o,449,42,491,1.863,ok
77677,gpt4o,449,3,452,0.977,ok
94910,gpt4o,449,4,453,0.91,ok
207475,gpt4o,449,18,467,0.899,ok
259675,gpt4o,279,98,377,3.326,ok
343674,gpt4o,449,5,454,1.211,ok
356486,gpt4o,449,6,455,0.946,ok
384756,gpt4o,449,17,466,1.284,ok
472015,gpt4o,279,43,322,1.224,ok
487439,gpt4o,449,156,605,1.931,ok
682809,gpt4o,449,195,644,3.489,ok
748251,gpt4o,449,5,454,0.98,ok
861413,gpt4o,279,47,326,0.996,ok
940187,gpt4o,449,20,469,0.987,ok
972244,gpt4o,449,152,601,2.278,ok
748589,gpt4o,449,142,591,2.285,ok
796250,gpt4o,449,110,559,1.593,ok
802851,gpt4o,449,19,468,1.042,ok
854417,gpt4o,449,9,458,1.433,ok
863406,gpt4o,449,4,453,1.648,ok
918096,gpt4o,449,11,460,0.882,ok
931049,gpt4o,279,41,320,1.331,ok
1022479,gpt4o,449,15,464,1.862,ok
1083119,gpt4o,449,8,457,1.043,ok
1125186,gpt4o,449,26,475,1.639,ok
1193824,gpt4o,449,2,451,0.823,ok
1289969,gpt4o,279,88,367,1.98,ok
1298819,gpt4o,449,7,456,1.302,ok
1307154,gpt4o,449,5,454,1.939,ok
1375109,gpt4o,449,150,599,3.093,ok
1397562,gpt4o,449,2,451,1.023,ok
1441287,gpt4o,449,21,470,0.96,ok
1443966,gpt4o,449,42,491,2.429,ok
1475231,gpt4o,449,50,499,1.505,ok
1718150,gpt4o,449,196,645,2.757,ok
652004,gpt4o,449,5,454,1.017,ok
931940,gpt4o,449,2,451,0.797,ok
949486,gpt4o,449,101,550,1.79,ok
988142,gpt4o,449,8,457,1.489,ok
1085262,gpt4o,449,16,465,1.084,ok
1148920,gpt4o,279,142,421,3.019,ok
1229586,gpt4o,279,3,282,1.349,ok
1273536,gpt4o,449,6,455,1.127,ok
1294319,gpt4o,449,4,453,0.872,ok
1346645,gpt4o,449,2,451,1.779,ok
1351896,gpt4o,279,51,330,1.53,ok
1363776,gpt4o,279,3,282,0.869,ok
1379480,gpt4o,449,3,452,0.843,ok
1405670,gpt4o,449,5,454,0.742,ok
1463113,gpt4o,279,2,281,1.499,ok
1483020,gpt4o,449,4,453,0.865,ok
1483743,gpt4o,279,36,315,2.183,ok
1541944,gpt4o,449,3,452,1.855,ok
1578643,gpt4o,449,15,464,0.835,ok
