id,title,original_title,year,original_language,ocr_lang,ocr_chars,overlap_max,overlap_max_local,model,model_id,status,verdict,confidence,poster_title_guess,reason,latency_s,error
176,Saw,Saw,2004,en,en,4,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SAW,"The poster prominently displays the title 'SAW' and features a graphic, gritty style consistent with the Saw franchise.",1.165,
348,Alien,Alien,1979,en,en,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ALIEN,"The poster features the iconic title 'ALIEN' and a visual of a facehugger emerging from an egg, which is a hallmark of the original 1979 film.",2.957,
539,Psycho,Psycho,1960,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PSYCHO,"The poster displays the title 'PSYCHO' and iconic imagery associated with the film, including a woman in a nightgown and the Bates Motel.",2.716,
561,Constantine,Constantine,2005,en,en,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,CONSTANTINE,The poster clearly displays the title 'CONSTANTINE' and features the main character in a style consistent with the 2005 film.,2.603,
579,Jaws 2,Jaws 2,1978,en,en,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,JAWS 2,The poster clearly displays the title 'JAWS 2' and features iconic shark imagery consistent with the film.,1.577,
763,Braindead,Braindead,1992,en,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BRAINDEAD,The poster clearly displays the title 'BRAINDEAD' and features iconic imagery associated with the film.,1.034,
765,Evil Dead II,Evil Dead II,1987,en,de,11,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,EVIL DEAD 2,"The poster features the exact title 'EVIL DEAD 2' and a skull, which is iconic to the film.",1.454,
779,Vampyr,Vampyr - Der Traum des Allan Grey,1932,de,fi,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Vampyr,"The poster displays the title 'Vampyr' and features gothic, shadowy imagery consistent with the 1932 film.",1.229,
790,The Fog,The Fog,1980,en,en,23,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE FOG,The poster clearly displays the title 'THE FOG' and features iconic imagery associated with John Carpenter's horror film.,1.394,
794,The Omen,The Omen,1976,en,en,7,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE OMEN,The poster clearly displays the title 'THE OMEN' and features iconic imagery associated with the film.,1.228,
827,Diabolique,Les Diaboliques,1955,fr,fr,10,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DIABOLIQUE,"The poster features the title 'DIABOLIQUE' and iconic imagery of a hand gripping a submerged head, aligning with the film's themes and style.",1.366,
1448,The Wisdom of Crocodiles,The Wisdom of Crocodiles,1998,en,en,11,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,mismatch,0.95,IMMORTALITY,The visible title 'IMMORTALITY' does not match the catalog title 'The Wisdom of Crocodiles'.,9.584,
1678,Godzilla,ゴジラ,1954,ja,en,5,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,GODZILLA,"The poster prominently displays the title 'GODZILLA' and features the iconic monster, matching the catalog entry.",1.665,
1691,Hostel: Part II,Hostel: Part II,2007,en,de,13,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,HOSTEL PART II,"The poster clearly displays the title 'HOSTEL PART II', matching the catalog entry.",1.332,
1730,Inland Empire,Inland Empire,2006,en,jv,21,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,INLAND EMPIRE,"The poster displays the exact title 'INLAND EMPIRE' in large, prominent text, matching the catalog entry.",1.165,
1872,Rise: Blood Hunter,Rise: Blood Hunter,2007,en,af,16,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,RISE BLOODHUNTER,The poster displays the exact title 'RISE BLOODHUNTER' matching the catalog entry.,1.813,
2269,Day Watch,Дневной дозор,2006,ru,en,8,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DAY WATCH,The poster displays the exact title 'DAY WATCH' matching the catalog entry.,2.611,
2675,Signs,Signs,,,en,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Signs,"The title 'Signs' is clearly visible on the poster, matching the catalog entry.",2.919,
2969,A Daughter Of Destiny,Alraune,1928,de,fr,4,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Alraune,"The poster displays the title 'Alraune,' which matches the original title of the catalog film.",1.99,
2970,Alraune,Alraune,1930,de,et,6,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,ALRAUNE,"The poster prominently displays the title 'ALRAUNE', matching the catalog film title.",1.631,
2971,Alraune,Alraune,1952,de,en,170,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Alraune,"The poster displays the exact title 'Alraune' and features the director's name, matching the catalog entry.",2.078,
2992,Appetite,Appetite,1998,en,en,69,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Appetite,"The poster displays the title 'Appetite' clearly, matching the catalog entry.",2.882,
3022,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1941,en,en,8,0.2,0.2,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Dr. Jekyll and Mr. Hyde,The poster prominently displays the title 'Dr. Jekyll and Mr. Hyde' and features classic imagery associated with the story.,1.327,
3030,End of the World,End of the World,,,pl,11,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,END OF THE WORLD,The poster displays the exact title 'END OF THE WORLD' and features apocalyptic imagery consistent with the film's theme.,1.375,
3162,Blackenstein,Blackenstein,1973,en,de,12,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BLACKENSTEIN,"The poster prominently displays the title 'BLACKENSTEIN' in a stylized font, matching the catalog entry.",1.5,
3410,My Friend Frankenstein,Sevimli Frankestayn,1975,tr,tr,204,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,match,0.95,Sevimli Frankestayn,"The poster clearly displays the title 'Sevimli Frankestayn', which matches the original title of the catalog film.",2.531,
3593,Dr. Cyclops,Dr. Cyclops,1940,en,nl,9,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DR. CYCLOPS,The poster clearly displays the title 'Dr. Cyclops' and features iconic imagery consistent with the film's theme.,2.148,
