id,title,original_title,year,source,file_path,stem,ocr_chars,n_lines,overlap_title,overlap_original,overlap_max,fuzzy_title,fuzzy_original,fuzzy_max,latency_s,error,ocr_preview
7180,RISEN,RISEN,2008,primary,posters/7180.jpg,7180.jpg,91,10,0.0,0.0,0.0,0.1013,0.1013,0.1013,1.351,,GIGI ERNETA | JOE THACKERY | JASON HARPER | STEPHEN LEE STEPHEN | WORLD | THE OF LIVING | DEAD | FSK | - | 18
7180,RISEN,RISEN,2008,variant,posters_multi/7180/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,mULRjy8rGqZx9Ql5TTKV4inH9If,36,2,1.0,1.0,1.0,0.2632,0.2632,0.2632,1.461,,ERNETA JOETHACKERY JASONHARPER | RISEN
7180,RISEN,RISEN,2008,variant,posters_multi/7180/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,vX3uVYYG1YMbZijRoaFSXtNuIO2,102,11,0.0,0.0,0.0,0.0889,0.0889,0.0889,1.779,,GIG ERNETA | JOE THACKERY | JASON HARPER | STEPHEN LEE STEPHEN | WORLD | THE OF LIVING | DEAD | FSK | DE | 18 | WENDELIVER
13276,Deadwater,Deadwater,2008,primary,posters/13276.jpg,13276.jpg,53,2,0.0,0.0,0.0,0.1455,0.1455,0.1455,1.603,,BLACKOPS | GARY STRETCH JAMES RUSSO AND LANCE HENRIKSEN
13276,Deadwater,Deadwater,2008,variant,posters_multi/13276/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,1563LI6bmrzyXaGbbwTkAjpR0qA,572,9,1.0,1.0,1.0,0.0367,0.0367,0.0367,1.847,,"LANCE HENRIKSEN JAMES RUSSO GARY STRETCH KATHERINE RANDOLPH JIM HANKS | DEADWATER | a John Daly Film | FILM AND MUSIC ENTERTAINMENT, INC Presents A JOHN DAILY Film | GARY STRETCH K"
13276,Deadwater,Deadwater,2008,variant,posters_multi/13276/tvF4dx3coDHCJrcn0nM38X663fH.jpg,tvF4dx3coDHCJrcn0nM38X663fH,74,3,0.0,0.0,0.0,0.1622,0.1622,0.1622,1.656,,BLACKOPS | GARY STRETCH JAMES RUSSO AND LANCE HENRIKSEN | copyrighter material
15057,The Evil Woods,The Evil Woods,2007,primary,posters/15057.jpg,15057.jpg,30,3,0.3333,0.3333,0.3333,0.4444,0.4444,0.4444,1.163,,ADAM MASON'S | THE | DEVIL'S CHAIR
15057,The Evil Woods,The Evil Woods,2007,variant,posters_multi/15057/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,ppMNj9IAzEjQsQCjBloHo9qf6yJ,30,3,0.3333,0.3333,0.3333,0.4444,0.4444,0.4444,1.229,,ADAM MASON'S | THE | DEVIL'S CHAIR
20321,Doctor Sleep,Doctor Sleep,2002,primary,posters/20321.jpg,20321.jpg,27,4,0.0,0.0,0.0,0.25,0.25,0.25,1.33,,In e | CR2 | CLOSE YOUR EYES | UI
20321,Doctor Sleep,Doctor Sleep,2002,variant,posters_multi/20321/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,bWb7wrpWygWFEFlkkwU4cUTfE7V,567,20,0.5,0.5,0.5,0.0,0.0,0.0,2.421,,THE DEEPER | THE SLEEP. | THE DARKER | THE FEAR. | GORAN VISNJIC | and R 2 | CLOSE YOUR EYES | JOI | YOU WON'T SNAP OUT OF IT. | MRANDA OTTO CLOSE YOUR EYES РАДОЧ CONSIONE CLAIRE R
