id,title,year,decade,model,model_id,status,latency_s,title_guess,typography,typography_notes,mood,caption_essay,lite_risk,notes,raw_text,error
787187,Three-Fingered Detective,1947,1940,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.396,,mixed,Mix of bold red kanji and smaller black text.,suspense|mystery|drama,A haunting Japanese horror movie poster featuring a man's face and a woman's portrait.,ok,Image is a vintage Japanese movie poster with a mix of text and imagery.,"{""title_guess"": """", ""typography"": ""mixed"", ""typography_notes"": ""Mix of bold red kanji and smaller black text."", ""mood"": [""suspense"", ""mystery"", ""drama""], ""caption_essay"": ""A haunting Japanese horror movie poster featuring a man's face and a woman's portrait."", ""lite_risk"": ""ok"", ""notes"": ""Image is a vintage Japanese movie poster with a mix of text and imagery.""}",
3581,Death Line,1972,1970,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.397,Death Line,other,"Gothic-style lettering with a bold, distressed font.",horror|dark|gothic|macabre,"A haunting poster featuring a skull with a grotesque, decaying face. Surrounding skulls and bones add to the eerie atmosphere.",ok,The title is clearly visible and matches the expected format.,"{""title_guess"": ""Death Line"", ""typography"": ""other"", ""typography_notes"": ""Gothic-style lettering with a bold, distressed font."", ""mood"": [""horror"", ""dark"", ""gothic"", ""macabre""], ""caption_essay"": ""A haunting poster featuring a skull with a grotesque, decaying face. Surrounding skulls and bones add to the eerie atmosphere."", ""lite_risk"": ""ok"", ""notes"": ""The title is clearly visible and matches the expected format.""}",
112969,Slaughter of the Innocents,1993,1990,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,0.98,Slaughter of the Innocents,mixed,Title uses a mix of serif and sans-serif fonts.,dark|tense|mysterious|ominous,"A man in a black jacket holds a gun, set against a desert landscape with a haunting face looming in the background.",ok,The image is a VHS cover for a thriller movie.,"{""title_guess"": ""Slaughter of the Innocents"", ""typography"": ""mixed"", ""typography_notes"": ""Title uses a mix of serif and sans-serif fonts."", ""mood"": [""dark"", ""tense"", ""mysterious"", ""ominous""], ""caption_essay"": ""A man in a black jacket holds a gun, set against a desert landscape with a haunting face looming in the background."", ""lite_risk"": ""ok"", ""notes"": ""The image is a VHS cover for a thriller movie.""}",
580138,Suburban Coven,2019,2010,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.242,Suburban Coven,block,Gradient effect on title text,dark|ominous|spooky|mysterious|foreboding,"A horror movie poster featuring a haunted house and a witch-like figure. The title 'Suburban Coven' is prominently displayed in bold, gradient lettering.",ok,Typical horror movie poster elements,"{""title_guess"": ""Suburban Coven"", ""typography"": ""block"", ""typography_notes"": ""Gradient effect on title text"", ""mood"": [""dark"", ""ominous"", ""spooky"", ""mysterious"", ""foreboding""], ""caption_essay"": ""A horror movie poster featuring a haunted house and a witch-like figure. The title 'Suburban Coven' is prominently displayed in bold, gradient lettering."", ""lite_risk"": ""ok"", ""notes"": ""Typical horror movie poster elements""}",
633722,The Office Is Mine,2019,2010,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,0.861,The Office is Mine,minimal,"Simple, bold font used for the title.",dark|humor|violent|ominous,A stapler with blood and a keyboard on a desk. The tagline reads 'Workplace politics can be killer.',ok,The image effectively conveys a darkly comedic tone.,"{""title_guess"": ""The Office is Mine"", ""typography"": ""minimal"", ""typography_notes"": ""Simple, bold font used for the title."", ""mood"": [""dark"", ""humor"", ""violent"", ""ominous""], ""caption_essay"": ""A stapler with blood and a keyboard on a desk. The tagline reads 'Workplace politics can be killer.'"", ""lite_risk"": ""ok"", ""notes"": ""The image effectively conveys a darkly comedic tone.""}",
25239,I Spit on Your Grave,1978,1970,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.32,I Spit on Your Grave,block,"Bold, distressed red lettering on a black background.",violent|disturbing|dark|vengeful,"A shirtless figure wields a bloody knife in a wooded area, evoking a sense of dread.",ok,The image is a horror movie poster with a clear and ominous tone.,"{""title_guess"": ""I Spit on Your Grave"", ""typography"": ""block"", ""typography_notes"": ""Bold, distressed red lettering on a black background."", ""mood"": [""violent"", ""disturbing"", ""dark"", ""vengeful""], ""caption_essay"": ""A shirtless figure wields a bloody knife in a wooded area, evoking a sense of dread."", ""lite_risk"": ""ok"", ""notes"": ""The image is a horror movie poster with a clear and ominous tone.""}",
42469,The Creeping Flesh,1973,1970,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.124,The Creeping Flesh,other,"Distressed, irregular font with bold and uneven lettering.",horror|spooky|gothic|supernatural|dark,"A skeleton carries a screaming woman, with ominous figures in the background. The image conveys a sense of dread and supernatural horror.",ok,The image is a classic horror movie poster with clear visual elements.,"{""title_guess"": ""The Creeping Flesh"", ""typography"": ""other"", ""typography_notes"": ""Distressed, irregular font with bold and uneven lettering."", ""mood"": [""horror"", ""spooky"", ""gothic"", ""supernatural"", ""dark""], ""caption_essay"": ""A skeleton carries a screaming woman, with ominous figures in the background. The image conveys a sense of dread and supernatural horror."", ""lite_risk"": ""ok"", ""notes"": ""The image is a classic horror movie poster with clear visual elements.""}",
1701746,The Bells of Hell,1968,1960,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,0.912,LATE NIGHT HORROR,block,"The title is in a bold, block lettering style.",spooky|ominous|dark|mysterious,"A horror movie title 'LATE NIGHT HORROR' in bold, yellow font against a dark background.",ok,The image is a simple yet effective horror movie poster.,"{""title_guess"": ""LATE NIGHT HORROR"", ""typography"": ""block"", ""typography_notes"": ""The title is in a bold, block lettering style."", ""mood"": [""spooky"", ""ominous"", ""dark"", ""mysterious""], ""caption_essay"": ""A horror movie title 'LATE NIGHT HORROR' in bold, yellow font against a dark background."", ""lite_risk"": ""ok"", ""notes"": ""The image is a simple yet effective horror movie poster.""}",
27501,The Bat,1926,1920,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.324,The Bat,block,Large red block letters for 'BAT' with smaller serif font for 'THE'.,suspense|fear|mystery|darkness,"A group of people in coats react with alarm in a dimly lit scene, with a large bat silhouette looming.",ok,The image effectively conveys a sense of horror and suspense.,"{""title_guess"": ""The Bat"", ""typography"": ""block"", ""typography_notes"": ""Large red block letters for 'BAT' with smaller serif font for 'THE'."", ""mood"": [""suspense"", ""fear"", ""mystery"", ""darkness""], ""caption_essay"": ""A group of people in coats react with alarm in a dimly lit scene, with a large bat silhouette looming."", ""lite_risk"": ""ok"", ""notes"": ""The image effectively conveys a sense of horror and suspense.""}",
633130,Krazy Spooks,1933,1930,llama4-maverick,us.meta.llama4-maverick-17b-instruct-v1:0,ok,1.397,Krazy Kat,block,"Bold, black block letters for the main title.",spooky|comedy|cartoonish,Krazy Kat and Ignatz Mouse flee from a ghost in a cartoon poster.,ok,"The image is a cartoon poster, not a horror movie poster.","{""title_guess"": ""Krazy Kat"", ""typography"": ""block"", ""typography_notes"": ""Bold, black block letters for the main title."", ""mood"": [""spooky"", ""comedy"", ""cartoonish""], ""caption_essay"": ""Krazy Kat and Ignatz Mouse flee from a ghost in a cartoon poster."", ""lite_risk"": ""ok"", ""notes"": ""The image is a cartoon poster, not a horror movie poster.""}",
