id,model,api_model,prompt_tokens,completion_tokens,total_tokens,latency_s,status
484509,gemma4-31b,google/gemma-4-31b-it,294,36,330,1.712,ok
1261561,gemma4-31b,google/gemma-4-31b-it,300,59,359,2.18,ok
362776,gemma4-31b,google/gemma-4-31b-it,300,25,325,1.654,ok
26921,gemma4-31b,google/gemma-4-31b-it,292,11,303,0.601,ok
212973,gemma4-31b,google/gemma-4-31b-it,294,70,364,1.861,ok
48800,gemma4-31b,google/gemma-4-31b-it,292,49,341,2.869,ok
35073,gemma4-31b,google/gemma-4-31b-it,292,17,309,2.325,ok
836924,gemma4-31b,google/gemma-4-31b-it,292,16,308,3.872,ok
3104,gemma4-31b,google/gemma-4-31b-it,292,8,300,2.686,ok
64524,gemma4-31b,google/gemma-4-31b-it,292,5,297,0.663,ok
77399,gemma4-31b,google/gemma-4-31b-it,294,6,300,0.756,ok
30833,gemma4-31b,google/gemma-4-31b-it,292,8,300,1.116,ok
399172,gemma4-31b,google/gemma-4-31b-it,294,5,299,0.48,ok
1015482,gemma4-31b,google/gemma-4-31b-it,160,15,175,1.511,ok
10283,gemma4-31b,google/gemma-4-31b-it,294,18,312,1.16,ok
88410,gemma4-31b,google/gemma-4-31b-it,294,6,300,0.627,ok
86687,gemma4-31b,google/gemma-4-31b-it,292,20,312,0.785,ok
336254,gemma4-31b,google/gemma-4-31b-it,294,5,299,0.687,ok
36992,gemma4-31b,google/gemma-4-31b-it,292,5,297,0.482,ok
43274,gemma4-31b,google/gemma-4-31b-it,292,7,299,1.295,ok
15056,gemma4-31b,google/gemma-4-31b-it,292,12,304,5.868,ok
23532,gemma4-31b,google/gemma-4-31b-it,292,8,300,1.769,ok
31012,gemma4-31b,google/gemma-4-31b-it,292,4,296,2.523,ok
45551,gemma4-31b,google/gemma-4-31b-it,292,22,314,12.845,ok
156252,gemma4-31b,google/gemma-4-31b-it,292,4,296,1.313,ok
743757,gemma4-31b,google/gemma-4-31b-it,298,23,321,1.38,ok
11908,gemma4-31b,google/gemma-4-31b-it,160,4,164,1.384,ok
28265,gemma4-31b,google/gemma-4-31b-it,160,8,168,1.357,ok
28419,gemma4-31b,google/gemma-4-31b-it,160,134,294,3.426,ok
53553,gemma4-31b,google/gemma-4-31b-it,294,4,298,0.508,ok
77050,gemma4-31b,google/gemma-4-31b-it,300,29,329,0.772,ok
278267,gemma4-31b,google/gemma-4-31b-it,292,150,442,3.328,ok
165078,gemma4-31b,google/gemma-4-31b-it,298,75,373,4.946,ok
225048,gemma4-31b,google/gemma-4-31b-it,298,15,313,1.336,ok
233194,gemma4-31b,google/gemma-4-31b-it,298,88,386,2.348,ok
286452,gemma4-31b,google/gemma-4-31b-it,292,7,299,0.717,ok
300156,gemma4-31b,google/gemma-4-31b-it,292,27,319,3.119,ok
302019,gemma4-31b,google/gemma-4-31b-it,292,5,297,1.773,ok
387034,gemma4-31b,google/gemma-4-31b-it,298,144,442,1.859,ok
491649,gemma4-31b,google/gemma-4-31b-it,292,2,294,2.286,ok
505063,gemma4-31b,google/gemma-4-31b-it,292,6,298,2.168,ok
547055,gemma4-31b,google/gemma-4-31b-it,294,2,296,0.406,ok
636515,gemma4-31b,google/gemma-4-31b-it,292,14,306,0.55,ok
653537,gemma4-31b,google/gemma-4-31b-it,292,4,296,1.305,ok
772603,gemma4-31b,google/gemma-4-31b-it,292,76,368,2.187,ok
974046,gemma4-31b,google/gemma-4-31b-it,292,39,331,1.164,ok
976209,gemma4-31b,google/gemma-4-31b-it,294,38,332,1.275,ok
77677,gemma4-31b,google/gemma-4-31b-it,292,3,295,0.487,ok
94910,gemma4-31b,google/gemma-4-31b-it,294,5,299,0.573,ok
207475,gemma4-31b,google/gemma-4-31b-it,294,17,311,0.843,ok
259675,gemma4-31b,google/gemma-4-31b-it,298,92,390,13.312,ok
343674,gemma4-31b,google/gemma-4-31b-it,292,6,298,1.464,ok
356486,gemma4-31b,google/gemma-4-31b-it,292,6,298,0.576,ok
384756,gemma4-31b,google/gemma-4-31b-it,298,20,318,3.715,ok
472015,gemma4-31b,google/gemma-4-31b-it,298,43,341,3.881,ok
487439,gemma4-31b,google/gemma-4-31b-it,292,202,494,4.529,ok
682809,gemma4-31b,google/gemma-4-31b-it,292,188,480,3.221,ok
748251,gemma4-31b,google/gemma-4-31b-it,292,7,299,1.697,ok
861413,gemma4-31b,google/gemma-4-31b-it,292,121,413,2.809,ok
940187,gemma4-31b,google/gemma-4-31b-it,294,20,314,12.159,ok
972244,gemma4-31b,google/gemma-4-31b-it,292,149,441,4.124,ok
748589,gemma4-31b,google/gemma-4-31b-it,160,144,304,3.111,ok
796250,gemma4-31b,google/gemma-4-31b-it,292,96,388,4.894,ok
802851,gemma4-31b,google/gemma-4-31b-it,292,21,313,0.92,ok
854417,gemma4-31b,google/gemma-4-31b-it,292,10,302,15.588,ok
863406,gemma4-31b,google/gemma-4-31b-it,292,4,296,2.05,ok
918096,gemma4-31b,google/gemma-4-31b-it,292,17,309,5.077,ok
931049,gemma4-31b,google/gemma-4-31b-it,298,47,345,13.743,ok
1022479,gemma4-31b,google/gemma-4-31b-it,294,13,307,1.148,ok
1083119,gemma4-31b,google/gemma-4-31b-it,292,8,300,12.053,ok
1125186,gemma4-31b,google/gemma-4-31b-it,294,26,320,0.825,ok
1193824,gemma4-31b,google/gemma-4-31b-it,294,3,297,0.716,ok
1289969,gemma4-31b,google/gemma-4-31b-it,298,99,397,4.589,ok
