id,model,title_overlap_score,status
26921,easyocr,0.6,ok
10283,easyocr,0.375,ok
28265,easyocr,0.3333,ok
233194,easyocr,0.0,ok
286452,easyocr,0.5,ok
653537,easyocr,0.0,ok
1405670,easyocr,0.0,ok
1483743,easyocr,0.6667,ok
1578643,easyocr,0.0,ok
26921,rekognition,1.0,ok
10283,rekognition,0.75,ok
28265,rekognition,0.3333,ok
233194,rekognition,0.0,ok
286452,rekognition,1.0,ok
653537,rekognition,0.0,ok
1405670,rekognition,0.0,ok
1483743,rekognition,1.0,ok
1578643,rekognition,0.0,ok
26921,google,1.0,ok
10283,google,0.625,ok
28265,google,0.3333,ok
233194,google,0.0,ok
286452,google,1.0,ok
653537,google,1.0,ok
1405670,google,0.0,ok
1483743,google,1.0,ok
1578643,google,1.0,ok
26921,florence,0.8,ok
10283,florence,0.5,ok
28265,florence,0.0,ok
233194,florence,0.0,ok
286452,florence,0.0,ok
653537,florence,0.0,ok
1405670,florence,0.0,ok
1483743,florence,0.6667,ok
1578643,florence,0.0,ok
26921,ppocr,0.8,ok
10283,ppocr,0.25,ok
28265,ppocr,0.3333,ok
233194,ppocr,0.0,ok
286452,ppocr,1.0,ok
653537,ppocr,0.0,ok
1405670,ppocr,0.0,ok
1483743,ppocr,0.3333,ok
1578643,ppocr,0.0,ok
26921,qwen-v2,0.2,ok
10283,qwen-v2,0.75,ok
28265,qwen-v2,0.3333,ok
233194,qwen-v2,0.0,ok
286452,qwen-v2,0.5,ok
653537,qwen-v2,0.0,ok
1405670,qwen-v2,0.0,ok
1483743,qwen-v2,0.6667,ok
1578643,qwen-v2,0.0,ok
26921,deepseek,1.0,ok
10283,deepseek,0.75,ok
28265,deepseek,0.3333,ok
233194,deepseek,0.0,ok
286452,deepseek,0.0,ok
653537,deepseek,0.0,ok
1405670,deepseek,0.0,ok
1483743,deepseek,0.6667,ok
1578643,deepseek,0.0,ok
26921,paddle-vl,1.0,ok
10283,paddle-vl,0.625,ok
28265,paddle-vl,0.3333,ok
233194,paddle-vl,0.0,ok
286452,paddle-vl,1.0,ok
653537,paddle-vl,0.0,ok
1405670,paddle-vl,0.0,ok
1483743,paddle-vl,0.6667,ok
1578643,paddle-vl,1.0,ok
26921,nova-lite,1.0,ok
10283,nova-lite,0.875,ok
28265,nova-lite,0.3333,ok
233194,nova-lite,1.0,ok
286452,nova-lite,0.5,ok
653537,nova-lite,0.0,ok
1405670,nova-lite,0.0,ok
1483743,nova-lite,0.6667,ok
1578643,nova-lite,0.0,ok
26921,pixtral,1.0,ok
10283,pixtral,0.875,ok
28265,pixtral,0.3333,ok
233194,pixtral,1.0,ok
286452,pixtral,1.0,ok
653537,pixtral,1.0,ok
1405670,pixtral,0.0,ok
1483743,pixtral,1.0,ok
1578643,pixtral,1.0,ok
26921,nova-pro,1.0,ok
10283,nova-pro,0.875,ok
28265,nova-pro,0.3333,ok
233194,nova-pro,1.0,ok
286452,nova-pro,0.5,ok
653537,nova-pro,0.0,ok
1405670,nova-pro,0.0,ok
1483743,nova-pro,1.0,ok
1578643,nova-pro,0.0,ok
26921,llama4-scout,1.0,ok
10283,llama4-scout,0.75,ok
28265,llama4-scout,0.3333,ok
233194,llama4-scout,0.0,ok
286452,llama4-scout,1.0,ok
653537,llama4-scout,0.0,ok
1405670,llama4-scout,0.0,ok
1483743,llama4-scout,1.0,ok
1578643,llama4-scout,1.0,ok
26921,gemini-flash,1.0,ok
10283,gemini-flash,0.875,ok
28265,gemini-flash,0.3333,ok
233194,gemini-flash,1.0,ok
286452,gemini-flash,1.0,ok
653537,gemini-flash,0.0,ok
1405670,gemini-flash,0.0,ok
1483743,gemini-flash,0.3333,ok
1578643,gemini-flash,1.0,ok
26921,gpt4o,1.0,ok
10283,gpt4o,0.875,ok
28265,gpt4o,0.3333,ok
233194,gpt4o,1.0,ok
286452,gpt4o,0.5,ok
653537,gpt4o,0.0,ok
1405670,gpt4o,0.0,ok
1483743,gpt4o,1.0,ok
1578643,gpt4o,1.0,ok
10283,qwen2b-hard,0.75,ok
26921,qwen2b-hard,1.0,ok
28265,qwen2b-hard,0.6667,ok
233194,qwen2b-hard,0.0,ok
286452,qwen2b-hard,0.5,ok
653537,qwen2b-hard,0.0,ok
1405670,qwen2b-hard,0.0,ok
1483743,qwen2b-hard,0.6667,ok
1578643,qwen2b-hard,0.0,ok
10283,qwen7b-hard,0.875,ok
26921,qwen7b-hard,1.0,ok
28265,qwen7b-hard,0.6667,ok
233194,qwen7b-hard,0.0,ok
286452,qwen7b-hard,1.0,ok
653537,qwen7b-hard,0.0,ok
1405670,qwen7b-hard,0.0,ok
1483743,qwen7b-hard,0.6667,ok
1578643,qwen7b-hard,1.0,ok
10283,kimi-vl-hard,0.75,ok
26921,kimi-vl-hard,1.0,ok
28265,kimi-vl-hard,0.3333,ok
233194,kimi-vl-hard,1.0,ok
286452,kimi-vl-hard,1.0,ok
653537,kimi-vl-hard,0.0,ok
1405670,kimi-vl-hard,0.0,ok
1483743,kimi-vl-hard,0.6667,ok
1578643,kimi-vl-hard,1.0,ok
10283,ppocrv6-medium,0.375,ok
26921,ppocrv6-medium,1.0,ok
28265,ppocrv6-medium,0.3333,ok
233194,ppocrv6-medium,0.0,ok
286452,ppocrv6-medium,1.0,ok
653537,ppocrv6-medium,0.0,ok
1405670,ppocrv6-medium,0.0,ok
1483743,ppocrv6-medium,1.0,ok
1578643,ppocrv6-medium,1.0,ok
10283,qwen2b-crop,0.75,ok
26921,qwen2b-crop,1.0,ok
28265,qwen2b-crop,0.6667,ok
233194,qwen2b-crop,0.0,ok
286452,qwen2b-crop,0.5,ok
653537,qwen2b-crop,0.0,ok
1405670,qwen2b-crop,0.0,ok
1483743,qwen2b-crop,0.0,ok
1578643,qwen2b-crop,0.0,ok
10283,qwen7b-crop,0.75,ok
26921,qwen7b-crop,1.0,ok
28265,qwen7b-crop,0.3333,ok
233194,qwen7b-crop,0.0,ok
286452,qwen7b-crop,1.0,ok
1405670,qwen7b-crop,0.0,ok
1483743,qwen7b-crop,0.0,ok
1578643,qwen7b-crop,1.0,ok
10283,gemma4-26b-free-hard,0.875,ok
26921,gemma4-26b-free-hard,1.0,ok
28265,gemma4-26b-free-hard,0.3333,ok
233194,gemma4-26b-free-hard,1.0,ok
286452,gemma4-26b-free-hard,1.0,ok
653537,gemma4-26b-free-hard,0.0,ok
1405670,gemma4-26b-free-hard,0.0,ok
1483743,gemma4-26b-free-hard,1.0,ok
