id,title,original_title,year,poster_title_guess_pro,reason_pro,poster_title_guess_sonnet,reason_sonnet,ocr_chars,overlap_max,imdb_id,poster_path
7180,RISEN,RISEN,2008,WORLD OF THE LIVING DEAD,"The poster clearly shows a different title, 'WORLD OF THE LIVING DEAD', which does not match the catalog film 'RISEN'.",WORLD OF THE LIVING DEAD,Poster clearly shows title 'WORLD OF THE LIVING DEAD' which does not match catalog entry 'RISEN'.,91,0.0,tt0454539,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg
13276,Deadwater,Deadwater,2008,BlackOps,"The poster clearly shows the title 'BlackOps', which does not match the catalog film 'Deadwater'.",BLACK OPS,"Poster clearly shows title 'BLACK OPS' with actors Gary Stretch, James Russo, and Lance Henriksen, which does not match the catalog film 'Deadwater' from 2008.",53,0.0,tt0914364,/tvF4dx3coDHCJrcn0nM38X663fH.jpg
15057,The Evil Woods,The Evil Woods,2007,The Devil's Chair,"Poster clearly shows 'The Devil's Chair', not 'The Evil Woods'.",The Devil's Chair,Poster clearly shows 'ADAM MASON'S THE DEVIL'S CHAIR' which is a different film than 'The Evil Woods'.,30,0.3333,tt0968738,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg
20321,Doctor Sleep,Doctor Sleep,2002,Close Your Eyes,"The poster clearly displays the title 'Close Your Eyes', which does not match the catalog film 'Doctor Sleep'.",Close Your Eyes,Poster clearly shows title 'Close Your Eyes' which does not match catalog entry 'Doctor Sleep' from 2002.,27,0.0,tt0286594,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg
26208,Credo,Credo,2008,The Devil's Curse,"The title 'The Devil's Curse' is clearly visible on the poster, which does not match the catalog film 'Credo'.",The Devil's Curse,Poster clearly displays title 'THE DEVIL'S CURSE' which does not match catalog film 'Credo' from 2008.,30,0.0,tt0854670,/zujrGZqzrXe8DVCZyig07O03Edz.jpg
28930,Live Evil,Live Evil,2009,Samurai Priest Vampire Hunter,Poster clearly shows a different title and artwork.,Samurai Priest Vampire Hunter,Poster clearly shows title 'Samurai Priest Vampire Hunter' which is completely different from catalog film 'Live Evil'.,617,0.0,tt0791321,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg
29214,Echoes,Echoes,1982,Living Nightmare,"The poster clearly shows the title 'Living Nightmare', which does not match the catalog film 'Echoes'.",Living Nightmare,Poster clearly shows title 'Living Nightmare' which does not match catalog entry 'Echoes' from 1982.,107,0.0,tt0085471,/kTAqXw80XokVrYHehoW01zt2HP3.jpg
29899,Claustrophobia,Claustrophobia,,Serial Slayer,"The poster clearly shows the title 'Serial Slayer', which does not match the catalog film 'Claustrophobia'.",Serial Slayer,Poster clearly displays title 'Serial Slayer' which does not match catalog entry 'Claustrophobia'.,83,0.0,,/gNyLGFOTMvRwbGkrLuFiLAAfHhD.jpg
30030,Eyes Are Upon You,Eyes Are Upon You,1997,Demon Lust,"The poster clearly shows the title 'Demon Lust', which does not match the catalog film 'Eyes Are Upon You'.",DEMONLUST,"Poster clearly shows title 'DEMONLUST' with stars Brinke Stevens and Tom Savini, not 'Eyes Are Upon You'.",41,0.0,tt0126899,/4nsQ3qGeP6xCllI2RDQBPstdtdP.jpg
30380,Wolfsbayne,Wolfsbayne,2005,ACONIT,"The poster clearly shows a different title 'ACONIT', not 'Wolfsbayne'.",ACONITE,"Poster clearly displays the title 'ACONITE' in large red letters at the top, not 'Wolfsbayne'.",95,0.0,tt0426629,
35949,Jennifer's Shadow,Jennifer's Shadow,2004,Chronicle of the Raven,"The poster clearly shows a different title, 'Chronicle of the Raven', not 'Jennifer's Shadow'.",Chronicle of the Raven,"Poster clearly shows title 'Chronicle of the Raven' with stars Gina Phillips and Faye Dunaway, not 'Jennifer's Shadow'.",83,0.0,tt0382761,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg
36965,Infection,Infection,2005,Invasion,"The poster clearly reads 'Invasion', not 'Infection'.",Invasion,"Poster clearly shows title 'Invasion' with sci-fi meteor/space theme, not 'Infection'.",29,0.0,tt0472465,/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg
37687,3 A.M.,3 A.M.,2008,Paranormal Ascendancy,"The poster clearly shows a different title, 'Paranormal Ascendancy', which does not match the catalog film '3 A.M.'",PARANORMAL ASCENDANCY,Poster clearly shows title 'PARANORMAL ASCENDANCY' which does not match catalog film '3 A.M.',125,0.0,tt1265961,/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg
40338,Naked Massacre,Die Hinrichtung,1976,Born for Hell,"The poster clearly displays the title 'Born for Hell', which does not match the catalog film 'Naked Massacre'.",BORN FOR HELL,Poster clearly shows title 'BORN FOR HELL' which does not match catalog entry 'Naked Massacre' or 'Die Hinrichtung'.,21,0.0,tt0211971,/ok7WHby5ATCRjil9amoiblWZMNA.jpg
45511,Teacher's Pet,Teacher's Pet,2000,Devil in the Flesh 2,"Poster clearly shows 'Devil in the Flesh 2', not 'Teacher's Pet'.",Devil in the Flesh 2,"Poster clearly shows 'Devil in the Flesh 2' title, which is a completely different film from 'Teacher's Pet' (2000).",20,0.0,tt0217086,/6tP0SNBPUWEFd4dz77p4JH2S574.jpg
47431,To Make a Killing,To Make a Killing,1988,Victims,"The poster clearly shows the title 'Victims', which does not match 'To Make a Killing'.",Vicious,"Poster clearly displays the title 'Vicious' in red text at the bottom, not 'To Make a Killing'.",592,0.0,tt0096381,/3V9jxF3ZHE3KLSyU6QytBo4NPaE.jpg
48808,Closet Space,Closet Space,2008,Between Two Worlds,"The poster clearly displays the title 'Between Two Worlds', which does not match the catalog film 'Closet Space'.",Between Two Worlds,"Poster clearly shows title 'Between Two Worlds' and references H.P. Lovecraft, not 'Closet Space' from 2008.",154,0.0,tt0860835,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg
50604,Dark Woods,Dark Woods,2010,Forbidden Attraction,"The poster clearly displays the title 'Forbidden Attraction', which does not match the catalog film 'Dark Woods'.",FORBIDDEN ATTRACTION,"Poster clearly displays title 'FORBIDDEN ATTRACTION' with tagline about rescuing Alicia, not 'Dark Woods'.",294,0.0,tt1308754,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg
51176,Hellborn,Hellborn,2003,Asylum of the Damned,"The poster clearly displays 'Asylum of the Damned', which does not match the catalog film 'Hellborn'.",Asylum of the Damned,Poster clearly shows title 'Asylum of the Damned' which does not match catalog entry 'Hellborn'.,106,0.0,tt0352394,/u5VdDoyXLuMSA193Jalh03FfrD3.jpg
