id,title,year,decade,model,model_id,status,latency_s,title_guess,typography,typography_notes,mood,caption_essay,lite_risk,notes,raw_text,error
3581,Death Line,1972,1970,nova-pro,us.amazon.nova-pro-v1:0,ok,2.232,Death Line,block,"Bold, block letters for the title",terror|gothic|dark|macabre|gruesome,A chilling poster with a monstrous skull and skeletal figures.,ok,Poster is clear and unambiguous,"{
  ""title_guess"": ""Death Line"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, block letters for the title"",
  ""mood"": [""terror"", ""gothic"", ""dark"", ""macabre"", ""gruesome""],
  ""caption_essay"": ""A chilling poster with a monstrous skull and skeletal figures."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster is clear and unambiguous""
}",
3581,Death Line,1972,1970,pixtral,us.mistral.pixtral-large-2502-v1:0,ok,3.098,Death Line,mixed,"Diverse styles with bold, block letters for the title and a more ornate, script-like font for the tagline.",dark|eerie|thrilling|gritty|horrifying,"A haunting, gritty poster featuring a skeletal figure and decaying skulls, setting a chilling tone for the horror film 'Death Line'.",ok,"The poster effectively conveys the horror theme with vivid, disturbing imagery.","{
  ""title_guess"": ""Death Line"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Diverse styles with bold, block letters for the title and a more ornate, script-like font for the tagline."",
  ""mood"": [""dark"", ""eerie"", ""thrilling"", ""gritty"", ""horrifying""],
  ""caption_essay"": ""A haunting, gritty poster featuring a skeletal figure and decaying skulls, setting a chilling tone for the horror film 'Death Line'."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The poster effectively conveys the horror theme with vivid, disturbing imagery.""
}",
3581,Death Line,1972,1970,llama4-scout,us.meta.llama4-scout-17b-instruct-v1:0,ok,1.229,Death Line,ornate,"The title features ornate, stylized lettering.",dark|scary|intense|horrific,"A grotesque skull dominates the poster, surrounded by chaotic, disturbing imagery. The tagline 'A New Line in Terror' hints at the film's horror theme.",low_signal,The poster appears to be from a 1970s horror film.,"{
  ""title_guess"": ""Death Line"",
  ""typography"": ""ornate"",
  ""typography_notes"": ""The title features ornate, stylized lettering."",
  ""mood"": [""dark"", ""scary"", ""intense"", ""horrific""],
  ""caption_essay"": ""A grotesque skull dominates the poster, surrounded by chaotic, disturbing imagery. The tagline 'A New Line in Terror' hints at the film's horror theme."",
  ""lite_risk"": ""low_signal"",
  ""notes"": ""The poster appears to be from a 1970s horror film.""
}",
3581,Death Line,1972,1970,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.647,DEATH LINE,block,"Bold yellow block lettering with stark contrast against dark background, emphasizing visceral impact.",grotesque|visceral|supernatural|claustrophobic|macabre,"A skeletal visage merges with decaying organic matter in this 1970s horror poster, promising subterranean terror through its tagline 'A New Line in Terror.'",ok,Classic exploitation-era design with clear credits visible; imagery consistent with underground/creature horror themes of the period.,"```json
{
  ""title_guess"": ""DEATH LINE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold yellow block lettering with stark contrast against dark background, emphasizing visceral impact."",
  ""mood"": [""grotesque"", ""visceral"", ""supernatural"", ""claustrophobic"", ""macabre""],
  ""caption_essay"": ""A skeletal visage merges with decaying organic matter in this 1970s horror poster, promising subterranean terror through its tagline 'A New Line in Terror.'"",
  ""lite_risk"": ""ok"",
  ""notes"": ""Classic exploitation-era design with clear credits visible; imagery consistent with underground/creature horror themes of the period.""
}
```",
787187,Three-Fingered Detective,1947,1940,nova-pro,us.amazon.nova-pro-v1:0,ok,1.872,,block,"Large, bold characters dominate the right side.",tense|mysterious|vintage|eerie|intriguing,Vintage horror movie poster with eerie faces and bold typography.,ok,"The title is not in English, so a guess is not possible.","{
  ""title_guess"": """",
  ""typography"": ""block"",
  ""typography_notes"": ""Large, bold characters dominate the right side."",
  ""mood"": [""tense"", ""mysterious"", ""vintage"", ""eerie"", ""intriguing""],
  ""caption_essay"": ""Vintage horror movie poster with eerie faces and bold typography."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The title is not in English, so a guess is not possible.""
}",
787187,Three-Fingered Detective,1947,1940,pixtral,us.mistral.pixtral-large-2502-v1:0,ok,2.404,三本指の男,mixed,Combines bold block letters with traditional script-like elements.,suspenseful|dark|intense|dramatic|classic,"A vintage film poster captures the haunting intensity of a noir thriller, blending dramatic contrasts and a mysterious narrative.",ok,The typography and illustrations are characteristic of mid-20th century Japanese cinema.,"{
  ""title_guess"": ""三本指の男"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Combines bold block letters with traditional script-like elements."",
  ""mood"": [""suspenseful"", ""dark"", ""intense"", ""dramatic"", ""classic""],
  ""caption_essay"": ""A vintage film poster captures the haunting intensity of a noir thriller, blending dramatic contrasts and a mysterious narrative."",
  ""lite_risk"": ""ok"",
  ""notes"": ""The typography and illustrations are characteristic of mid-20th century Japanese cinema.""
}",
787187,Three-Fingered Detective,1947,1940,llama4-scout,us.meta.llama4-scout-17b-instruct-v1:0,ok,1.22,,mixed,The poster features a mix of red and black Japanese characters with varying font styles.,intense|mysterious|suspenseful,"A haunting poster with a close-up of a man's face and a woman's portrait, surrounded by Japanese text.",low_signal,"The image appears to be a vintage Japanese movie poster, possibly from the 1940s or 1950s.","{
  ""title_guess"": """",
  ""typography"": ""mixed"",
  ""typography_notes"": ""The poster features a mix of red and black Japanese characters with varying font styles."",
  ""mood"": [""intense"", ""mysterious"", ""suspenseful""],
  ""caption_essay"": ""A haunting poster with a close-up of a man's face and a woman's portrait, surrounded by Japanese text."",
  ""lite_risk"": ""low_signal"",
  ""notes"": ""The image appears to be a vintage Japanese movie poster, possibly from the 1940s or 1950s.""
}",
787187,Three-Fingered Detective,1947,1940,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,3.532,真犯人は誰だ (Who is the Real Criminal?),mixed,Combines bold red block lettering with smaller Japanese characters and credits in varied sizes.,mysterious|psychological|noir|suspenseful|dramatic,"A vintage Japanese thriller poster featuring fragmented faces and intense psychological imagery, blending expressionist design with classic cinema typography to convey mystery and moral ambiguity.",ok,Appears to be a 1940s-50s Japanese crime/mystery film. Text legibility varies; some credits partially obscured. No obvious hallucination risks.,"```json
{
  ""title_guess"": ""真犯人は誰だ (Who is the Real Criminal?)"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Combines bold red block lettering with smaller Japanese characters and credits in varied sizes."",
  ""mood"": [""mysterious"", ""psychological"", ""noir"", ""suspenseful"", ""dramatic""],
  ""caption_essay"": ""A vintage Japanese thriller poster featuring fragmented faces and intense psychological imagery, blending expressionist design with classic cinema typography to convey mystery and moral ambiguity."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Appears to be a 1940s-50s Japanese crime/mystery film. Text legibility varies; some credits partially obscured. No obvious hallucination risks.""
}
```",
580138,Suburban Coven,2019,2010,nova-pro,us.amazon.nova-pro-v1:0,ok,1.683,Suburban Coven,block,"Bold, uppercase letters dominate the title.",dark|mysterious|sinister|eerie,A horror movie poster featuring a menacing house and cloaked figures.,ok,Poster effectively conveys a sense of dread and supernatural themes.,"{
  ""title_guess"": ""Suburban Coven"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, uppercase letters dominate the title."",
  ""mood"": [""dark"", ""mysterious"", ""sinister"", ""eerie""],
  ""caption_essay"": ""A horror movie poster featuring a menacing house and cloaked figures."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Poster effectively conveys a sense of dread and supernatural themes.""
}",
580138,Suburban Coven,2019,2010,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2.597,SUBURBAN COVEN,block,"Bold, all-caps sans-serif lettering in red with strong visual impact against dark background.",supernatural|dread|domestic horror|ominous|eerie,"A spectral figure looms over an idyllic suburban home engulfed in supernatural fire, merging domestic tranquility with occult terror in this contemporary horror narrative.",ok,"Clear poster hierarchy with cast names, tagline, and central imagery. No obvious QA concerns.","```json
{
  ""title_guess"": ""SUBURBAN COVEN"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, all-caps sans-serif lettering in red with strong visual impact against dark background."",
  ""mood"": [""supernatural"", ""dread"", ""domestic horror"", ""ominous"", ""eerie""],
  ""caption_essay"": ""A spectral figure looms over an idyllic suburban home engulfed in supernatural fire, merging domestic tranquility with occult terror in this contemporary horror narrative."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear poster hierarchy with cast names, tagline, and central imagery. No obvious QA concerns.""
}
```",
