id,title,year,decade,model,model_id,status,latency_s,title_guess,typography,typography_notes,mood,caption_essay,lite_risk,notes,raw_text,error
3581,Death Line,1972,1970,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,6.115,DEATH LINE,block,"Bold yellow block letters with inline shadow create a stark, attention-grabbing title treatment.",macabre|grotesque|visceral|underground|decay,"This 1972 British horror poster centers a screaming skull wreathed in decay and skeletal hands, promising subterranean terror. The tagline 'A New Line in Terror' frames imagery of death and decomposition in lurid detail.",ok,"Clear imagery and text, strong horror iconography typical of early 70s exploitation cinema.","```json
{
  ""title_guess"": ""DEATH LINE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold yellow block letters with inline shadow create a stark, attention-grabbing title treatment."",
  ""mood"": [""macabre"", ""grotesque"", ""visceral"", ""underground"", ""decay""],
  ""caption_essay"": ""This 1972 British horror poster centers a screaming skull wreathed in decay and skeletal hands, promising subterranean terror. The tagline 'A New Line in Terror' frames imagery of death and decomposition in lurid detail."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear imagery and text, strong horror iconography typical of early 70s exploitation cinema.""
}
```",
787187,Three-Fingered Detective,1947,1940,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,6.353,,block,Large vertical Japanese characters dominate the right side in bold red and white block lettering.,suspenseful|dramatic|noir|mysterious|tense,"This Japanese film poster juxtaposes shadowed male faces with a bespectacled woman, employing stark contrasts and angular composition typical of mid-century crime cinema. The vertical typography and fragmented imagery suggest psychological tension and moral ambiguity.",ok,"Appears to be a vintage Japanese crime or thriller film poster, likely from the 1950s-60s based on design style.","```json
{
  ""title_guess"": """",
  ""typography"": ""block"",
  ""typography_notes"": ""Large vertical Japanese characters dominate the right side in bold red and white block lettering."",
  ""mood"": [""suspenseful"", ""dramatic"", ""noir"", ""mysterious"", ""tense""],
  ""caption_essay"": ""This Japanese film poster juxtaposes shadowed male faces with a bespectacled woman, employing stark contrasts and angular composition typical of mid-century crime cinema. The vertical typography and fragmented imagery suggest psychological tension and moral ambiguity."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Appears to be a vintage Japanese crime or thriller film poster, likely from the 1950s-60s based on design style.""
}
```",
580138,Suburban Coven,2019,2010,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,5.018,SUBURBAN COVEN,block,"Bold red sans-serif capitals dominate the center, creating stark contrast against the dark atmospheric background.",ominous|supernatural|domestic horror|threatening|occult,"A horror film poster juxtaposes suburban normalcy with occult terror: a ghostly female figure looms above a typical house where robed silhouettes gather near an eerie orange glow, suggesting dark rituals hidden behind neighborhood facades.",ok,,"```json
{
  ""title_guess"": ""SUBURBAN COVEN"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold red sans-serif capitals dominate the center, creating stark contrast against the dark atmospheric background."",
  ""mood"": [""ominous"", ""supernatural"", ""domestic horror"", ""threatening"", ""occult""],
  ""caption_essay"": ""A horror film poster juxtaposes suburban normalcy with occult terror: a ghostly female figure looms above a typical house where robed silhouettes gather near an eerie orange glow, suggesting dark rituals hidden behind neighborhood facades."",
  ""lite_risk"": ""ok"",
  ""notes"": """"
}
```",
112969,Slaughter of the Innocents,1993,1990,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,5.644,Slaughter of the Innocents,mixed,"Title uses stylized serif capitals with enlarged 'S' initial, contrasting with clean sans-serif author name above.",thriller|suspense|desert|crime|pursuit,"This 1993 direct-to-video thriller poster features Scott Glenn against a stark desert landscape, positioning the actor as a determined lawman hunting an elusive killer through Monument Valley terrain.",ok,"Clear action-thriller marketing, not horror despite 'Slaughter' title; standard VHS-era crime drama presentation","```json
{
  ""title_guess"": ""Slaughter of the Innocents"",
  ""typography"": ""mixed"",
  ""typography_notes"": ""Title uses stylized serif capitals with enlarged 'S' initial, contrasting with clean sans-serif author name above."",
  ""mood"": [""thriller"", ""suspense"", ""desert"", ""crime"", ""pursuit""],
  ""caption_essay"": ""This 1993 direct-to-video thriller poster features Scott Glenn against a stark desert landscape, positioning the actor as a determined lawman hunting an elusive killer through Monument Valley terrain."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clear action-thriller marketing, not horror despite 'Slaughter' title; standard VHS-era crime drama presentation""
}
```",
633722,The Office Is Mine,2019,2010,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,6.91,THE OFFICE IS MINE,block,"Bold, sans-serif capitals in gray create a stark, authoritative presence over the workspace scene.",menacing|workplace-horror|psychological|tension|mundane-terror,"A hand grips a stapler like a weapon above an ordinary desk scattered with keyboard, scissors, and office supplies, transforming everyday workspace tools into instruments of potential violence in this workplace horror premise.",ok,,"```json
{
  ""title_guess"": ""THE OFFICE IS MINE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, sans-serif capitals in gray create a stark, authoritative presence over the workspace scene."",
  ""mood"": [""menacing"", ""workplace-horror"", ""psychological"", ""tension"", ""mundane-terror""],
  ""caption_essay"": ""A hand grips a stapler like a weapon above an ordinary desk scattered with keyboard, scissors, and office supplies, transforming everyday workspace tools into instruments of potential violence in this workplace horror premise."",
  ""lite_risk"": ""ok"",
  ""notes"": """"
}
```",
25239,I Spit on Your Grave,1978,1970,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,6.116,I SPIT ON YOUR GRAVE,block,"Bold red and white sans-serif capitals create stark, confrontational impact against the photographic imagery.",revenge|violent|provocative|exploitation|transgressive,"The notorious rape-revenge thriller's poster uses fragmented body shots and aggressive typography to signal its extreme content, positioning a woman's hand gripping foliage as visual shorthand for survival and retaliation.",ok,Controversial exploitation film poster with deliberately provocative framing,"```json
{
  ""title_guess"": ""I SPIT ON YOUR GRAVE"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold red and white sans-serif capitals create stark, confrontational impact against the photographic imagery."",
  ""mood"": [""revenge"", ""violent"", ""provocative"", ""exploitation"", ""transgressive""],
  ""caption_essay"": ""The notorious rape-revenge thriller's poster uses fragmented body shots and aggressive typography to signal its extreme content, positioning a woman's hand gripping foliage as visual shorthand for survival and retaliation."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Controversial exploitation film poster with deliberately provocative framing""
}
```",
42469,The Creeping Flesh,1973,1970,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,4.821,THE CREEPING FLESH,ornate,"The title uses decorative, flowing letters with organic curves that evoke a sense of creeping movement.",campy|gothic|macabre|theatrical|vintage,"A glowing skeleton carries a swooning woman in this theatrical horror tableau, while shadowy figures lurk in the background. The lurid composition epitomizes 1970s British horror cinema's blend of Gothic atmosphere and sensational imagery.",ok,,"```json
{
  ""title_guess"": ""THE CREEPING FLESH"",
  ""typography"": ""ornate"",
  ""typography_notes"": ""The title uses decorative, flowing letters with organic curves that evoke a sense of creeping movement."",
  ""mood"": [""campy"", ""gothic"", ""macabre"", ""theatrical"", ""vintage""],
  ""caption_essay"": ""A glowing skeleton carries a swooning woman in this theatrical horror tableau, while shadowy figures lurk in the background. The lurid composition epitomizes 1970s British horror cinema's blend of Gothic atmosphere and sensational imagery."",
  ""lite_risk"": ""ok"",
  ""notes"": """"
}
```",
1701746,The Bells of Hell,1968,1960,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,4.839,LATE NIGHT HORROR,block,"Bold, glowing yellow block letters with a retro theatrical marquee style against a dark gradient background.",retro|ominous|theatrical|suspenseful|vintage,"A glowing title card evokes classic late-night television horror programming, with luminous yellow lettering emerging from darkness like a theater marquee promising nocturnal frights.",ok,"Clean, straightforward title treatment with strong vintage horror anthology aesthetic","```json
{
  ""title_guess"": ""LATE NIGHT HORROR"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, glowing yellow block letters with a retro theatrical marquee style against a dark gradient background."",
  ""mood"": [""retro"", ""ominous"", ""theatrical"", ""suspenseful"", ""vintage""],
  ""caption_essay"": ""A glowing title card evokes classic late-night television horror programming, with luminous yellow lettering emerging from darkness like a theater marquee promising nocturnal frights."",
  ""lite_risk"": ""ok"",
  ""notes"": ""Clean, straightforward title treatment with strong vintage horror anthology aesthetic""
}
```",
27501,The Bat,1926,1920,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,4.804,THE BAT,block,Bold red serif capitals emerge from a stylized black bat silhouette against yellow.,suspenseful|theatrical|classic|mysterious|ensemble,"A vintage poster for THE BAT layers formal-dressed figures in shadow above a dramatic bat silhouette, merging Gothic iconography with mid-century mystery theater aesthetics in bold red and yellow contrast.",ok,,"```json
{
  ""title_guess"": ""THE BAT"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold red serif capitals emerge from a stylized black bat silhouette against yellow."",
  ""mood"": [""suspenseful"", ""theatrical"", ""classic"", ""mysterious"", ""ensemble""],
  ""caption_essay"": ""A vintage poster for THE BAT layers formal-dressed figures in shadow above a dramatic bat silhouette, merging Gothic iconography with mid-century mystery theater aesthetics in bold red and yellow contrast."",
  ""lite_risk"": ""ok"",
  ""notes"": """"
}
```",
633130,Krazy Spooks,1933,1930,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,7.274,KRAZY SPOOKS,block,"Bold, irregular block letters create a playful, cartoonish aesthetic typical of early animation marketing.",comedic|animated|vintage|theatrical|lighthearted,"This Columbia Pictures poster for 'Krazy Spooks' features the animated character Krazy Kat confronting a menacing ghost, exemplifying the playful horror-comedy shorts of early animation's golden age.",ok,"This is actually a vintage animated cartoon poster, not a horror film, featuring the classic comic strip character Krazy Kat in a spooky-themed short.","```json
{
  ""title_guess"": ""KRAZY SPOOKS"",
  ""typography"": ""block"",
  ""typography_notes"": ""Bold, irregular block letters create a playful, cartoonish aesthetic typical of early animation marketing."",
  ""mood"": [""comedic"", ""animated"", ""vintage"", ""theatrical"", ""lighthearted""],
  ""caption_essay"": ""This Columbia Pictures poster for 'Krazy Spooks' features the animated character Krazy Kat confronting a menacing ghost, exemplifying the playful horror-comedy shorts of early animation's golden age."",
  ""lite_risk"": ""ok"",
  ""notes"": ""This is actually a vintage animated cartoon poster, not a horror film, featuring the classic comic strip character Krazy Kat in a spooky-themed short.""
}
```",
